Team,Weeks_in_Top25,Weeks_in_Top10,Weeks_in_Top5,Weeks_at_1
Kentucky,18,18,18,1
UTEP,2,0,0,0
Purdue,18,17,8,0
Pitt,11,1,0,0
Florida State,4,0,0,0
Northern Iowa,4,0,0,0
Ole Miss,9,0,0,0
Michigan,2,0,0,0
Gonzaga,15,0,0,0
Xavier,3,0,0,0
Vanderbilt,9,0,0,0
California,1,0,0,0
Villanova,18,18,10,0
Kansas State,14,8,1,0
Minnesota,2,0,0,0
Cincinnati,3,0,0,0
Georgetown,18,4,0,0
Tennessee,18,6,0,0
Wake Forest,1,0,0,0
Miami (FL),1,0,0,0
Syracuse,17,17,13,1
Maryland,5,0,0,0
BYU,11,0,0,0
Georgia Tech,9,0,0,0
Notre Dame,1,0,0,0
UConn,10,1,0,0
Duke,18,17,5,0
West Virginia,18,17,1,0
Wisconsin,13,0,0,0
Washington,8,0,0,0
UNLV,3,0,0,0
Clemson,7,0,0,0
Baylor,10,0,0,0
Portland,1,0,0,0
Richmond,3,0,0,0
Texas,15,12,10,2
Texas A&M,9,0,0,0
Illinois,2,0,0,0
Ohio State,16,5,2,0
Kansas,18,18,18,14
Oklahoma,2,0,0,0
Mississippi State,1,0,0,0
UNC,10,6,0,0
Florida,4,1,0,0
Dayton,1,0,0,0
Alabama-Birmingham,2,0,0,0
Texas Tech,5,0,0,0
Butler,13,0,0,0
New Mexico,12,4,0,0
Temple,13,0,0,0
Michigan State,18,10,4,0
