Team,Preseason_Rank,Last_Week_Rank,Peak_Position,Peak_Position_Week,Weeks_in_Top25,Weeks_in_Top10
Alabama,,,24,5,2,0
Arizona,3,12,2,4,17,4
Arizona State,,,3,9,11,4
Arkansas,,,22,10,1,0
Auburn,,19,8,15,10,2
Baylor,24,,16,5,8,0
Cincinnati,12,6,5,16,19,7
Clemson,,20,11,16,11,0
Creighton,,,25,11,4,0
Duke,1,9,1,6,19,18
Florida,8,23,5,6,10,5
Florida State,,,19,7,6,0
Gonzaga,18,8,6,19,19,5
Houston,,21,21,20,4,0
Kansas,4,4,2,6,19,14
Kentucky,5,18,5,2,15,7
Louisville,16,,16,2,4,0
Miami (FL),13,22,6,8,14,4
Michigan,,7,7,20,9,2
Michigan State,2,5,1,10,19,19
Middle Tennessee,,,24,18,2,0
Minnesota,15,,12,5,5,0
Nevada,,24,20,17,8,0
Northwestern,19,,19,2,2,0
Notre Dame,14,,5,5,6,2
Ohio State,,17,8,16,9,1
Oklahoma,,,4,12,9,3
Purdue,20,11,3,15,18,9
Rhode Island,,,16,16,7,0
Saint Mary's,22,25,11,15,11,0
Seton Hall,23,,13,11,10,0
TCU,,,10,9,8,1
Tennessee,,13,13,20,15,0
Texas A&M,25,,5,9,10,5
Texas Tech,,14,6,17,15,6
UCLA,21,,21,2,3,0
UNC,9,10,5,8,19,9
USC,10,,10,4,5,3
Villanova,6,2,1,15,19,19
Virginia,,1,1,20,16,12
West Virginia,11,15,2,11,19,6
Wichita State,7,16,3,7,19,10
Xavier,17,3,3,20,19,13
